,'',Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
0,,2021,2022,,,,
1,,"""",,"""",,,
2,155.01%,3.44%,"3,857",0.87%,"9,836",ETHIOPIAN AIRLINES,ET
3,,,,0.81%,"9,155",GEORGIAN AIRWAYS,A9
4,,,,0.72%,"8,089",LOT POLISH AIRLINES,LO
5,,1.12%,"1,259",0.71%,"7,965",AUSTRIAN AIRLINES,OS
6,,,,0.68%,"7,668",BRITISH AIRWAYS PLC,BA
7,,,,0.66%,"7,443",SMARTWINGS,QS
8,,0.32%,362,0.65%,"7,359","AIR EUROPA LineasAereas",UX
9,,,,0.50%,"5,622",TUS AIRWAYS,U8
10,,,,0.49%,"5,590",ETIHAD AIRWAYS,EY
11,,0.28%,317,0.48%,"5,460",SKYUP AIRLINES,PQ
12,,0.59%,664,0.45%,"5,150","VIRGIN ATLANTICAIRWAYS",VS
13,,0.50%,561,0.41%,"4,707","TAROM - RUMANIAN AIRTRAN",RO
14,,,,0.34%,"3,921",BULGARIA  AIR,FB
15,,0.98%,"1,102",0.31%,"3,510",AIR MOLDOVA,9U
16,,,,0.31%,"3,500",ROYAL  JORDANIAN,RJ
17,,0.59%,663,0.28%,"3,209",AIR INDIA,AI
18,,,,0.28%,"3,150",WIZZ AIR ABU DHABI,5W
19,,0.50%,565,0.27%,"3,126",BELAVIA AIRLINE,B2
20,,,,0.24%,"2,755",EGYPTAIR AIRLINES,MS
21,,,,0.23%,"2,668",TRANSAVIA,HV
22,,,,0.23%,"2,637",BRUSSELS AIRLINES,SN
