,'',Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
0,,2021,2022,,,,
1,,"""",,"""",,,
2,,0.67%,"3,498",0.86%,"33,685",K.L.M.,KL
3,,,,0.85%,"33,251",TUS AIRWAYS,U8
4,162.79%,2.30%,"11,915",0.80%,"31,312",ETHIOPIAN AIRLINES,ET
5,,0.05%,269,0.76%,"29,901",SMARTWINGS,QS
6,,,,0.73%,"28,444",BLUE BIRD AIRWAYS,BZ
7,8.08%,4.93%,"25,489",0.70%,"27,549",UKRAINE INTL  AIR,PS
8,,0.82%,"4,270",0.68%,"26,572","VIRGIN ATLANTICAIRWAYS",VS
9,,,,0.62%,"24,184","ITALIA TRASPORTOAEREO",AZ
10,,0.06%,353,0.58%,"22,945",WIZZ AIR ABU DHABI,5W
11,,0.80%,"4,156",0.58%,"22,853","TAROM - RUMANIAN AIRTRAN",RO
12,,0.29%,"1,511",0.56%,"22,033","AIR EUROPA LineasAereas",UX
13,,,,0.55%,"21,573",BRUSSELS AIRLINES,SN
14,,0.24%,"1,258",0.53%,"20,774",GEORGIAN AIRWAYS,A9
15,116.90%,1.82%,"9,410",0.52%,"20,411","AEROFLOT RUSSIANAIRLINES",SU
16,,0.10%,527,0.39%,"15,471",ETIHAD AIRWAYS,EY
17,,,46,0.39%,"15,338",CORONDON AIRLINES,XC
18,,,,0.38%,"15,113",EGYPTAIR AIRLINES,MS
19,,0.01%,56,0.37%,"14,714",TRANSAVIA,HV
20,,0.77%,"3,987",0.36%,"14,164",AIR CANADA,AC
21,,0.14%,754,0.30%,"12,035",TAILWIND AIRLINES,TWI
22,,,,0.30%,"11,823",AIR PORTUGAL,TP
