,'',Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
0,,2021,2022,,,,
1,,"""",,"""",,,
2,,0.30%,754,0.24%,"5,738",TAILWIND AIRLINES,TWI
3,,,,0.24%,"5,684",AIR PORTUGAL,TP
4,,0.74%,"1,820",0.23%,"5,503",AIR MOLDOVA,9U
5,,,,0.22%,"5,366",EGYPTAIR AIRLINES,MS
6,,,,0.19%,"4,486",GULF AIR - BAHREIN,GF
7,,,,0.18%,"4,383",ROYAL  JORDANIAN,RJ
8,,,,0.16%,"3,794",FINNAIR,AY
9,,0.03%,88,0.16%,"3,764",ENTER AIR,ENT
10,,0.36%,895,0.15%,"3,722",AIR SEYCHELLES,HM
11,,,,0.14%,"3,373",UZBEKISTAN AIR,HY
12,,0.42%,"1,039",0.13%,"3,201",BELAVIA AIRLINE,B2
13,,,,0.13%,"3,195",AZERBAIJAN AIRLINES,J2
14,,,,0.10%,"2,397",ROYAL AIR MAROC,AT
15,,,,0.07%,"1,674",VUELING AIRLINES S.A.,VY
16,,,,0.06%,"1,570",ROSSIYA AIRLINES,FV
17,,,,0.05%,"1,351",FLYONE,5F
18,,,,0.04%,"1,078",NORD WIND,N4
19,,,,0.04%,"1,053",FREEBIRD AIRLINES,FH
20,,,,0.04%,"1,013","NORWEGIAN AIRSHUTTLE",D8
21,,0.01%,39,0.03%,856,AIR BALTIC,BT
22,,,,0.03%,779,EUROPEAN AIR CHARTER,BUC
