,'',Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
0,,2021,2022,,,,
1,,"""",,"""",,,
2,,,,0.88%,"20,575",LOT POLISH AIRLINES,LO
3,,1.91%,"4,695",0.87%,"20,411","AEROFLOT RUSSIANAIRLINES",SU
4,,0.86%,"2,126",0.86%,"20,283",AUSTRIAN AIRLINES,OS
5,163.31%,2.85%,"7,001",0.78%,"18,435",ETHIOPIAN AIRLINES,ET
6,,0.04%,121,0.65%,"15,349",SMARTWINGS,QS
7,,,2,0.63%,"14,734",GEORGIAN AIRWAYS,A9
8,,0.69%,"1,698",0.61%,"14,325","TAROM - RUMANIAN AIRTRAN",RO
9,,0.30%,748,0.61%,"14,311","AIR EUROPA LineasAereas",UX
10,,,,0.60%,"14,230",TUS AIRWAYS,U8
11,,0.86%,"2,132",0.57%,"13,462","VIRGIN ATLANTICAIRWAYS",VS
12,,,,0.44%,"10,492",ETIHAD AIRWAYS,EY
13,,,,0.43%,"10,234",WIZZ AIR ABU DHABI,5W
14,,,,0.39%,"9,213","ITALIA TRASPORTOAEREO",AZ
15,,0.27%,684,0.33%,"7,914",SKYUP AIRLINES,PQ
16,,0.16%,401,0.33%,"7,820",BULGARIA  AIR,FB
17,,0.01%,46,0.31%,"7,249",CORONDON AIRLINES,XC
18,,,,0.30%,"7,135",TRANSAVIA,HV
19,,0.49%,"1,214",0.29%,"6,887",AIR INDIA,AI
20,,,,0.28%,"6,590",BRUSSELS AIRLINES,SN
21,,,,0.26%,"6,154",BLUE BIRD AIRWAYS,BZ
22,171.54%,0.89%,"2,193",0.25%,"5,955",AIR CANADA,AC
