,'',Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
0,,2021,2022,,,,
1,,"""",,"""",,,
2,,25.73%,"133,029",22.21%,"865,072",EL AL ISRAEL AIRLINES,LY
3,,1.22%,"6,325",9.13%,"355,519",RYANAIR,FR
4,,6.61%,"34,190",7.00%,"272,847",TURKISH AIRLINES,TK
5,,1.51%,"7,842",5.42%,"211,420",EASYJET,EZY
6,,1.23%,"6,385",4.75%,"184,997",WIZZAIR,W6
7,,4.97%,"25,713",4.63%,"180,518",PEGASUS AIRLINES,PC
8,,7.85%,"40,587",4.17%,"162,402",ISRAIR AIRLINES,6H
9,199.50%,10.27%,"53,138",4.08%,"159,150",UNITED AIRLINES,UA
10,,4.36%,"22,551",3.60%,"140,546",LUFTHANSA,LH
11,,4.27%,"22,098",2.91%,"113,698",ARKIA  ISRAELI  AIRLINES,IZ
12,,3.05%,"15,785",2.58%,"100,745",FLYDUBAI,FZ
13,,0.88%,"4,576",1.75%,"68,328",TRANSAVIA FRANCE,TO
14,,,,1.73%,"67,636",AMERICAN AIRLINES,AA
15,,0.55%,"2,883",1.43%,"55,928",SWISS INT`L  AIRLINES,LX
16,,2.46%,"12,764",1.39%,"54,196",AIR FRANCE,AF
17,,0.32%,"1,693",1.38%,"53,979",AEGEAN  AIRLINES,A3
18,137.14%,4.35%,"22,530",1.37%,"53,428",DELTA AIRLINES,DL
19,,0.08%,444,1.18%,"46,191",LOT POLISH AIRLINES,LO
20,,1.07%,"5,580",1.01%,"39,507",AUSTRIAN AIRLINES,OS
21,,0.42%,"2,195",1.00%,"39,019",IBERIA,IB
22,,0.55%,"2,851",0.87%,"33,925",BRITISH AIRWAYS PLC,BA
